name	layer	type	assoc_score	prior_score	path_score	total_score
PPARGC1A	transcriptomic	gene	1.0	0.00016291883543019444	1.0	0.3334419458902868
PPP2R1B	transcriptomic	gene	0.9996631862579993	0.0008654177233392455	1.0	0.3338354309840038
ABCA5	transcriptomic	gene	0.9993263725159987	0.000146452328888763	1.0	0.3332812732228145
HMGCR	transcriptomic	gene	0.998989558773998	0.0003221338032189742	1.0	0.3333235467074789
ABCG1	transcriptomic	gene	0.9986527450319973	2.5618358006507175e-05	1.0	0.33305102224578154
LDLR	transcriptomic	gene	0.9983159312899966	0.0002978468085089816	1.0	0.33315766038122746
MID1IP1	transcriptomic	gene	0.997979117547996	0.0002778988761524859	1.0	0.3330695142614341
ECI1	transcriptomic	gene	0.9976423038059953	0.0009750880250760498	1.0	0.3334594595291608
ACADS	transcriptomic	gene	0.9973054900639946	0.0016904312164563134	1.0	0.3338615074918586
FUOM	transcriptomic	gene	0.9969686763219939	0.001114869681117864	1.0	0.3334029523034106
RORA	transcriptomic	gene	0.9966318625799933	0.00012170417583503132	1.0	0.332665994468333
UBC	transcriptomic	gene	0.9962950488379926	0.004292851554495939	1.0	0.3353719118892179
GAL3ST1	transcriptomic	gene	0.9959582350959919	1.6541344143442147e-05	1.0	0.3324461909174272
UAP1	transcriptomic	gene	0.9956214213539912	0.0005688071935347678	1.0	0.33273952065213236
ABCA10	transcriptomic	gene	0.9952846076119906	2.353366662445642e-05	1.0	0.3323011574693031
PMVK	transcriptomic	gene	0.9949477938699899	0.0006479229130306311	1.0	0.33264256946868487
AMDHD2	transcriptomic	gene	0.9946109801279892	9.776383038641189e-05	1.0	0.3322009492486997
CGA	transcriptomic	gene	0.9942741663859885	5.5258852262925596e-06	1.0	0.3320646097870372
NR1D1	transcriptomic	gene	0.9939373526439879	0.00024578186757956064	1.0	0.33214993294371703
MED11	transcriptomic	gene	0.9936005389019872	0.00020041701279521212	1.0	0.3320448422089718
IDI1	transcriptomic	gene	0.9932637251599865	0.0007420946543346774	1.0	0.3323311131384424
PIK3C2G	transcriptomic	gene	0.9929269114179858	5.8849421153801075e-05	1.0	0.33180076881809945
PNPLA8	transcriptomic	gene	0.9925900976759852	0.00014042473378596965	1.0	0.33178030486163185
ABCA9	transcriptomic	gene	0.9922532839339845	8.253645219141362e-05	1.0	0.3316668651756797
PIK3R1	transcriptomic	gene	0.9919164701919838	0.0004060062813324247	1.0	0.331807664230218
PMM1	transcriptomic	gene	0.9915796564499831	0.0004607772121672948	1.0	0.3317693306858856
RENBP	transcriptomic	gene	0.9912428427079825	2.8794915829338197e-05	1.0	0.33140649499010455
ENPP7	transcriptomic	gene	0.9909060289659818	5.202752781760254e-05	1.0	0.33134713589987436
PNPLA3	transcriptomic	gene	0.9905692152239811	0.00020787367989139472	1.0	0.33137618583636785
ACOT2	transcriptomic	gene	0.9902324014819804	0.0004676160460882465	1.0	0.33147449991561007
ITPR1	transcriptomic	gene	0.9898955877399798	1.7848956953579088e-05	1.0	0.33109980769129793
IGKV1-5	transcriptomic	gene	0.9895587739979791	0.0001500777061911445	1.0	0.13111311269256726
HSD17B14	transcriptomic	gene	0.9892219602559784	0.00037237605330451743	1.0	0.3311864640924205
