id	kind	layer	name
ACVL1_ACVR2A	Protein	protein	ACVL1_ACVR2A
SMAD9	Gene	transcriptomic	SMAD9
SMAD1	Gene	transcriptomic	SMAD1
SMAD5	Gene	transcriptomic	SMAD5
ACVL1_BMPR2	Protein	protein	ACVL1_BMPR2
ACVR_1A2A_receptor	Protein	protein	ACVR_1A2A_receptor
ACVR_1A2B_receptor	Protein	protein	ACVR_1A2B_receptor
ACVR_1B2B_receptor	Protein	protein	ACVR_1B2B_receptor
SMAD3	Gene	transcriptomic	SMAD3
SMAD2	Gene	transcriptomic	SMAD2
ACVR1_BMPR2	Protein	protein	ACVR1_BMPR2
AGTR1	Gene	transcriptomic	AGTR1
STAT1	Gene	transcriptomic	STAT1
STAT3	Gene	transcriptomic	STAT3
STAT5A	Gene	transcriptomic	STAT5A
STAT5B	Gene	transcriptomic	STAT5B
STAT6	Gene	transcriptomic	STAT6
STAT2	Gene	transcriptomic	STAT2
AR	Gene	transcriptomic	AR
BMPR1A_BMPR2	Protein	protein	BMPR1A_BMPR2
ZGLP1	TranscriptionFactor	tf	ZGLP1
BMPR1B_BMPR2	Protein	protein	BMPR1B_BMPR2
BMPR1B_BMPR2_ACVR1B	Protein	protein	BMPR1B_BMPR2_ACVR1B
BMR1A_ACR2A	Protein	protein	BMR1A_ACR2A
BMR1A_AVR2B	Protein	protein	BMR1A_AVR2B
BMR1B_AVR2A	Protein	protein	BMR1B_AVR2A
BMR1B_AVR2B	Protein	protein	BMR1B_AVR2B
CXCR4	Gene	transcriptomic	CXCR4
STAT4	Gene	transcriptomic	STAT4
DCC	Gene	transcriptomic	DCC
OTX2	Gene	transcriptomic	OTX2
EGFR	Gene	transcriptomic	EGFR
EPHB2	Gene	transcriptomic	EPHB2
ELK1	Gene	transcriptomic	ELK1
EPHB4	Gene	transcriptomic	EPHB4
EPOR	Gene	transcriptomic	EPOR
ERBB4	Gene	transcriptomic	ERBB4
ESR1	Gene	transcriptomic	ESR1
ESR2	Gene	transcriptomic	ESR2
FGFR2	Gene	transcriptomic	FGFR2
FSHR	Gene	transcriptomic	FSHR
FOXO3	Gene	transcriptomic	FOXO3
FOXO1	Gene	transcriptomic	FOXO1
FZD7_LRP5	Protein	protein	FZD7_LRP5
TBXT	Gene	transcriptomic	TBXT
FZD7_LRP6	Protein	protein	FZD7_LRP6
HNF4A	Gene	transcriptomic	HNF4A
HNF4G	Gene	transcriptomic	HNF4G
HRH1	Gene	transcriptomic	HRH1
NFKB1	Gene	transcriptomic	NFKB1
IL1_receptor	Protein	protein	IL1_receptor
IL10_receptor	Protein	protein	IL10_receptor
IL12_receptor	Protein	protein	IL12_receptor
IL2_receptor_I	Protein	protein	IL2_receptor_I
IL3_receptor	Protein	protein	IL3_receptor
IL4_receptor	Protein	protein	IL4_receptor
IL5_receptor	Protein	protein	IL5_receptor
SOX4	Gene	transcriptomic	SOX4
IL6_receptor	Protein	protein	IL6_receptor
IL7_receptor	Protein	protein	IL7_receptor
INSR	Gene	transcriptomic	INSR
KIT	Gene	transcriptomic	KIT
LHCGR	Gene	transcriptomic	LHCGR
MERTK	Gene	transcriptomic	MERTK
NOTCH1	Gene	transcriptomic	NOTCH1
EOMES	Gene	transcriptomic	EOMES
RBPJ	Gene	transcriptomic	RBPJ
HES1	Gene	transcriptomic	HES1
HES5	Gene	transcriptomic	HES5
HEY2	Gene	transcriptomic	HEY2
HEY1	Gene	transcriptomic	HEY1
NOTCH2	Gene	transcriptomic	NOTCH2
ID4	Gene	transcriptomic	ID4
NOTCH3	Gene	transcriptomic	NOTCH3
HES4	TranscriptionFactor	tf	HES4
NOTCH4	Gene	transcriptomic	NOTCH4
HEYL	Gene	transcriptomic	HEYL
NR0B1	Gene	transcriptomic	NR0B1
NR0B2	Gene	transcriptomic	NR0B2
NR1D1	Gene	transcriptomic	NR1D1
NR1D2	Gene	transcriptomic	NR1D2
NR1H2	Gene	transcriptomic	NR1H2
NR1H3	Gene	transcriptomic	NR1H3
NR1H4	Gene	transcriptomic	NR1H4
NR1I2	Gene	transcriptomic	NR1I2
NR1I3	Gene	transcriptomic	NR1I3
NR2C1	Gene	transcriptomic	NR2C1
NR2C2	Gene	transcriptomic	NR2C2
NR2E1	Gene	transcriptomic	NR2E1
NR2E3	Gene	transcriptomic	NR2E3
NR2F1	Gene	transcriptomic	NR2F1
NR2F2	Gene	transcriptomic	NR2F2
NR2F6	Gene	transcriptomic	NR2F6
NR3C1	Gene	transcriptomic	NR3C1
NR3C2	Gene	transcriptomic	NR3C2
NR4A1	Gene	transcriptomic	NR4A1
NR4A2	Gene	transcriptomic	NR4A2
NR4A3	Gene	transcriptomic	NR4A3
NR5A1	Gene	transcriptomic	NR5A1
NR5A2	Gene	transcriptomic	NR5A2
NR6A1	Gene	transcriptomic	NR6A1
PDGFRA	Gene	transcriptomic	PDGFRA
PDGFRB	Gene	transcriptomic	PDGFRB
PGR	Gene	transcriptomic	PGR
PPARA	Gene	transcriptomic	PPARA
PPARD	Gene	transcriptomic	PPARD
PPARG	Gene	transcriptomic	PPARG
PTCH_BOC_transmembrane_receptor	Protein	protein	PTCH_BOC_transmembrane_receptor
GLI1	Gene	transcriptomic	GLI1
GLI2	Gene	transcriptomic	GLI2
GLI3	Gene	transcriptomic	GLI3
PTCH_CDON_transmembrane_receptor	Protein	protein	PTCH_CDON_transmembrane_receptor
PTCH_GAS1_transmembrane_receptor	Protein	protein	PTCH_GAS1_transmembrane_receptor
PTGER3	Gene	transcriptomic	PTGER3
ETS1	Gene	transcriptomic	ETS1
PTH1R	Gene	transcriptomic	PTH1R
FOXC1	Gene	transcriptomic	FOXC1
RUNX2	Gene	transcriptomic	RUNX2
RAreceptor_RARA	Protein	protein	RAreceptor_RARA
RARA	Gene	transcriptomic	RARA
RAreceptor_RARA_RXRA	Protein	protein	RAreceptor_RARA_RXRA
MEIOSIN	TranscriptionFactor	tf	MEIOSIN
RXRA	Gene	transcriptomic	RXRA
RAreceptor_RARB	Protein	protein	RAreceptor_RARB
RARB	Gene	transcriptomic	RARB
RAreceptor_RARB_RXRB	Protein	protein	RAreceptor_RARB_RXRB
RXRB	Gene	transcriptomic	RXRB
RAreceptor_RARG	Protein	protein	RAreceptor_RARG
RARG	Gene	transcriptomic	RARG
RAreceptor_RARG_RXRG	Protein	protein	RAreceptor_RARG_RXRG
RXRG	Gene	transcriptomic	RXRG
RAreceptor_RXRA	Protein	protein	RAreceptor_RXRA
RAreceptor_RXRB	Protein	protein	RAreceptor_RXRB
RAreceptor_RXRG	Protein	protein	RAreceptor_RXRG
RORA	Gene	transcriptomic	RORA
RORB	Gene	transcriptomic	RORB
RORC	Gene	transcriptomic	RORC
TGFbeta_receptor1	Protein	protein	TGFbeta_receptor1
TGFbeta_receptor2	Protein	protein	TGFbeta_receptor2
THRA	Gene	transcriptomic	THRA
THRB	Gene	transcriptomic	THRB
TLR7	Gene	transcriptomic	TLR7
IRF5	Gene	transcriptomic	IRF5
TLR8	Gene	transcriptomic	TLR8
TNFRSF1A	Gene	transcriptomic	TNFRSF1A
TNFRSF1B	Gene	transcriptomic	TNFRSF1B
Type_I_IFNR	Protein	protein	Type_I_IFNR
Type_II_IFNR	Protein	protein	Type_II_IFNR
Type_III_IFNR	Protein	protein	Type_III_IFNR
VDR	Gene	transcriptomic	VDR
omnipath_interactions	Gene	transcriptomic	omnipath_interactions
P48995	Gene	transcriptomic	P48995
Q13507	Gene	transcriptomic	Q13507
