name	layer	type
AASS	transcriptomic	gene
ABCA10	transcriptomic	gene
ABCA5	transcriptomic	gene
ABCA9	transcriptomic	gene
ABCA9AS1	transcriptomic	gene
ABCC5	transcriptomic	gene
ABCC9	transcriptomic	gene
ABCG1	transcriptomic	gene
ABHD17A	transcriptomic	gene
ABL1	transcriptomic	gene
ABO	transcriptomic	gene
ACADL	transcriptomic	gene
ACADS	transcriptomic	gene
ACKR1	transcriptomic	gene
ACKR4	transcriptomic	gene
ACO1	transcriptomic	gene
ACOT11	transcriptomic	gene
ACOT2	transcriptomic	gene
ACOT6	transcriptomic	gene
ACOT8	transcriptomic	gene
ACSL4	transcriptomic	gene
ACSS3	transcriptomic	gene
ACTG1P25	transcriptomic	gene
ACTMAP	transcriptomic	gene
ACY3	transcriptomic	gene
ADAM1A	transcriptomic	gene
ADAMTS15	transcriptomic	gene
ADAMTS19	transcriptomic	gene
ADAMTS5	transcriptomic	gene
ADAMTS9AS2	transcriptomic	gene
ADAMTSL3	transcriptomic	gene
ADGRB3DT	transcriptomic	gene
ADGRE5	transcriptomic	gene
ADGRF5	transcriptomic	gene
ADGRF5AS1	transcriptomic	gene
ADGRG1	transcriptomic	gene
ADGRL1	transcriptomic	gene
ADGRL1AS1	transcriptomic	gene
ADHFE1	transcriptomic	gene
ADPRS	transcriptomic	gene
ADRB2	transcriptomic	gene
ADRM1	transcriptomic	gene
AFDN	transcriptomic	gene
AFF4	transcriptomic	gene
AFM	transcriptomic	gene
AGADT	transcriptomic	gene
AGBL3	transcriptomic	gene
AGBL4IT1	transcriptomic	gene
AGPAT1	transcriptomic	gene
AGPAT2	transcriptomic	gene
AGRN	transcriptomic	gene
AHCY	transcriptomic	gene
AHI1	transcriptomic	gene
AHI1DT	transcriptomic	gene
AHR	transcriptomic	gene
AHSA2P	transcriptomic	gene
AIFM2	transcriptomic	gene
AIP	transcriptomic	gene
AJUBA	transcriptomic	gene
AK1	transcriptomic	gene
AKAP12	transcriptomic	gene
AKAP13	transcriptomic	gene
AKIP1	transcriptomic	gene
AKIRIN2	transcriptomic	gene
AKR1C8	transcriptomic	gene
AKT2	transcriptomic	gene
ALB	transcriptomic	gene
ALG12	transcriptomic	gene
ALKAL2	transcriptomic	gene
ALKBH7	transcriptomic	gene
ALMS1IT1	transcriptomic	gene
AMDHD2	transcriptomic	gene
AMELX	transcriptomic	gene
AMN	transcriptomic	gene
AMOT	transcriptomic	gene
AMY1B	transcriptomic	gene
ANAPC11	transcriptomic	gene
ANAPC1P2	transcriptomic	gene
ANGPT2	transcriptomic	gene
ANK3	transcriptomic	gene
ANKRD10	transcriptomic	gene
ANKRD12	transcriptomic	gene
ANKRD16	transcriptomic	gene
ANKRD19P	transcriptomic	gene
ANKRD20A2P	transcriptomic	gene
ANKRD20A3P	transcriptomic	gene
ANKRD26	transcriptomic	gene
ANKRD28	transcriptomic	gene
ANKRD36	transcriptomic	gene
ANKRD36B	transcriptomic	gene
ANKRD36C	transcriptomic	gene
ANKRD39	transcriptomic	gene
ANKRD52	transcriptomic	gene
ANKS4B	transcriptomic	gene
ANTKMT	transcriptomic	gene
ANTXRL	transcriptomic	gene
ANXA1	transcriptomic	gene
ANXA11	transcriptomic	gene
AP1S1	transcriptomic	gene
AP2A1	transcriptomic	gene
AP2S1	transcriptomic	gene
AP3D1	transcriptomic	gene
AP5Z1	transcriptomic	gene
APLNR	transcriptomic	gene
APOA2	transcriptomic	gene
APOBEC2	transcriptomic	gene
APOBEC3C	transcriptomic	gene
APOBEC3F	transcriptomic	gene
APOC1	transcriptomic	gene
APOH	transcriptomic	gene
APOLD1	transcriptomic	gene
APOM	transcriptomic	gene
APRG1	transcriptomic	gene
APRT	transcriptomic	gene
AQP7	transcriptomic	gene
AQP7B	transcriptomic	gene
AQP7P3	transcriptomic	gene
ARAF	transcriptomic	gene
ARAP1	transcriptomic	gene
ARAP2	transcriptomic	gene
ARGLU1	transcriptomic	gene
ARGLU1DT	transcriptomic	gene
