name	layer	type
ALB	transcriptomic	gene
APOA2	transcriptomic	gene
APOC1	transcriptomic	gene
UBC	transcriptomic	gene
ACADS	transcriptomic	gene
PPP2R1B	transcriptomic	gene
PPARGC1A	transcriptomic	gene
ECI1	transcriptomic	gene
ABCA5	transcriptomic	gene
HMGCR	transcriptomic	gene
FUOM	transcriptomic	gene
LDLR	transcriptomic	gene
ABCG1	transcriptomic	gene
MID1IP1	transcriptomic	gene
UAP1	transcriptomic	gene
RORA	transcriptomic	gene
PMVK	transcriptomic	gene
GAL3ST1	transcriptomic	gene
ABCA10	transcriptomic	gene
AMDHD2	transcriptomic	gene
IDI1	transcriptomic	gene
HMGCS2	transcriptomic	gene
CGA	transcriptomic	gene
NR1D1	transcriptomic	gene
MED11	transcriptomic	gene
PIK3C2G	transcriptomic	gene
PIK3R1	transcriptomic	gene
PNPLA8	transcriptomic	gene
PMM1	transcriptomic	gene
ABCA9	transcriptomic	gene
RENBP	transcriptomic	gene
ACOT2	transcriptomic	gene
ENPP7	transcriptomic	gene
PNPLA3	transcriptomic	gene
HSD17B14	transcriptomic	gene
ITPR1	transcriptomic	gene
LPCAT4	transcriptomic	gene
PCYT2	transcriptomic	gene
CHD9	transcriptomic	gene
SCD	transcriptomic	gene
INPP5D	transcriptomic	gene
SLC22A5	transcriptomic	gene
PLA2R1	transcriptomic	gene
ACOT11	transcriptomic	gene
GPCPD1	transcriptomic	gene
OSBPL3	transcriptomic	gene
HSD17B1	transcriptomic	gene
B4GALT5	transcriptomic	gene
THEM4	transcriptomic	gene
ITPR2	transcriptomic	gene
B3GNT5	transcriptomic	gene
CYP8B1	transcriptomic	gene
ARSF	transcriptomic	gene
MIR33B	transcriptomic	gene
SBF2	transcriptomic	gene
ST6GALNAC3	transcriptomic	gene
MYLIP	transcriptomic	gene
ITPR3	transcriptomic	gene
ACSL4	transcriptomic	gene
GDPD3	transcriptomic	gene
AHR	transcriptomic	gene
PLTP	transcriptomic	gene
CYP2R1	transcriptomic	gene
GPX4	transcriptomic	gene
HSD3B1	transcriptomic	gene
ESYT3	transcriptomic	gene
ACSS3	transcriptomic	gene
PPARA	transcriptomic	gene
CYP4A11	transcriptomic	gene
MTMR7	transcriptomic	gene
NCEH1	transcriptomic	gene
ETNPPL	transcriptomic	gene
NUDT19	transcriptomic	gene
ACADL	transcriptomic	gene
ETNK2	transcriptomic	gene
MED16	transcriptomic	gene
PIP5K1B	transcriptomic	gene
PLEKHA6	transcriptomic	gene
HSD17B3	transcriptomic	gene
ORMDL1	transcriptomic	gene
CYP4F3	transcriptomic	gene
LIPG	transcriptomic	gene
CARM1	transcriptomic	gene
ARL4C	transcriptomic	gene
ALG12	transcriptomic	gene
CYP27B1	transcriptomic	gene
MED29	transcriptomic	gene
AGPAT1	transcriptomic	gene
ME1	transcriptomic	gene
PIAS4	transcriptomic	gene
NCOR2	transcriptomic	gene
CLN3	transcriptomic	gene
DOLPP1	transcriptomic	gene
NAGK	transcriptomic	gene
DPM3	transcriptomic	gene
PIK3C2B	transcriptomic	gene
ARSA	transcriptomic	gene
CDIPT	transcriptomic	gene
AGPAT2	transcriptomic	gene
SCARB1	transcriptomic	gene
FURIN	transcriptomic	gene
PIK3R3	transcriptomic	gene
PNPLA6	transcriptomic	gene
FDX2	transcriptomic	gene
AP2S1	transcriptomic	gene
NUDT14	transcriptomic	gene
SLC27A5	transcriptomic	gene
PIP5K1C	transcriptomic	gene
DOLK	transcriptomic	gene
SLC27A1	transcriptomic	gene
PTDSS2	transcriptomic	gene
DPM2	transcriptomic	gene
ST6GALNAC6	transcriptomic	gene
DHCR24	transcriptomic	gene
DUSP23	transcriptomic	gene
ENPP6	transcriptomic	gene
ST6GALNAC4	transcriptomic	gene
GFUS	transcriptomic	gene
AP2A1	transcriptomic	gene
PTGES2	transcriptomic	gene
TM7SF2	transcriptomic	gene
