name	layer	type	assoc_score	prior_score	path_score	total_score
ALB	transcriptomic	gene	1.0	0.192	1.0	0.5960000000000001
APOA2	transcriptomic	gene	0.9996652159357214	0.04895999999999999	1.0	0.5243795647807165
APOC1	transcriptomic	gene	0.9993304318714429	0.0	1.0	0.49979912956143285
UBC	transcriptomic	gene	0.9989956478071644	0.0	1.0	0.4996986943421493
ACADS	transcriptomic	gene	0.9986608637428859	0.0	1.0	0.49959825912286576
APOB	transcriptomic	gene	0.9983260796786073	0.2	1.0	0.5994978239035822
PPP2R1B	transcriptomic	gene	0.9979912956143288	0.0	1.0	0.4993973886842986
PPARGC1A	transcriptomic	gene	0.9976565115500502	0.0	1.0	0.49929695346501507
ECI1	transcriptomic	gene	0.9973217274857716	0.0	1.0	0.49919651824573147
LPL	transcriptomic	gene	0.9969869434214932	0.18	1.0	0.589096083026448
ABCA5	transcriptomic	gene	0.9966521593572146	0.0	1.0	0.4989956478071644
HMGCR	transcriptomic	gene	0.9963173752929361	0.2	1.0	0.5988952125878808
FUOM	transcriptomic	gene	0.9959825912286575	0.0	1.0	0.49879477736859723
NPC1L1	transcriptomic	gene	0.995647807164379	0.16000000000000003	1.0	0.5786943421493137
LDLR	transcriptomic	gene	0.9953130231001004	0.2	1.0	0.5985939069300301
ABCG1	transcriptomic	gene	0.9949782390358219	0.0	1.0	0.4984934717107466
MID1IP1	transcriptomic	gene	0.9946434549715434	0.0	1.0	0.498393036491463
UAP1	transcriptomic	gene	0.9943086709072648	0.0	1.0	0.49829260127217945
PCSK9	transcriptomic	gene	0.9939738868429863	0.2	1.0	0.5981921660528959
RORA	transcriptomic	gene	0.9936391027787077	0.0	1.0	0.4980917308336123
PMVK	transcriptomic	gene	0.9933043187144291	0.0	1.0	0.49799129561432876
GAL3ST1	transcriptomic	gene	0.9929695346501507	0.0	1.0	0.4978908603950452
ABCA10	transcriptomic	gene	0.9926347505858721	0.0	1.0	0.49779042517576166
AMDHD2	transcriptomic	gene	0.9922999665215936	0.0	1.0	0.49768998995647806
IDI1	transcriptomic	gene	0.991965182457315	0.0	1.0	0.4975895547371945
ABCA1	transcriptomic	gene	0.9916303983930365	0.12000000000000002	1.0	0.5574891195179109
HMGCS2	transcriptomic	gene	0.9912956143287579	0.0	1.0	0.49738868429862737
CGA	transcriptomic	gene	0.9909608302644795	0.0	1.0	0.4972882490793438
NR1D1	transcriptomic	gene	0.9906260462002009	0.0	1.0	0.4971878138600603
MED11	transcriptomic	gene	0.9902912621359223	0.0	1.0	0.4970873786407767
PIK3C2G	transcriptomic	gene	0.9899564780716438	0.0	1.0	0.49698694342149313
PIK3R1	transcriptomic	gene	0.9896216940073652	0.0	1.0	0.4968865082022096
PNPLA8	transcriptomic	gene	0.9892869099430867	0.0	1.0	0.496786072982926
PMM1	transcriptomic	gene	0.9889521258788082	0.0	1.0	0.49668563776364244
ANGPTL3	transcriptomic	gene	0.9886173418145296	0.07999999999999999	1.0	0.5365852025443589
ABCA9	transcriptomic	gene	0.9882825577502511	0.0	1.0	0.49648476732507535
RENBP	transcriptomic	gene	0.9879477736859725	0.0	1.0	0.49638433210579175
ACOT2	transcriptomic	gene	0.987612989621694	0.0	1.0	0.4962838968865082
ENPP7	transcriptomic	gene	0.9872782055574154	0.0	1.0	0.4961834616672246
PNPLA3	transcriptomic	gene	0.986943421493137	0.0	1.0	0.4960830264479411
HSD17B14	transcriptomic	gene	0.9866086374288584	0.0	1.0	0.4959825912286575
ITPR1	transcriptomic	gene	0.9862738533645798	0.0	1.0	0.49588215600937396
LPCAT4	transcriptomic	gene	0.9859390693003013	0.0	1.0	0.49578172079009036
APOE	transcriptomic	gene	0.9856042852360227	0.12000000000000002	1.0	0.5556812855708069
PCYT2	transcriptomic	gene	0.9852695011717443	0.0	1.0	0.49558085035152327
CHD9	transcriptomic	gene	0.9849347171074657	0.0	1.0	0.4954804151322397
SCD	transcriptomic	gene	0.9845999330431872	0.0	1.0	0.4953799799129561
INPP5D	transcriptomic	gene	0.9842651489789086	0.0	1.0	0.4952795446936726
SLC22A5	transcriptomic	gene	0.98393036491463	0.0	1.0	0.49517910947438903
PLA2R1	transcriptomic	gene	0.9835955808503515	0.0	1.0	0.49507867425510543
ACOT11	transcriptomic	gene	0.983260796786073	0.0	1.0	0.4949782390358219
GPCPD1	transcriptomic	gene	0.9829260127217945	0.0	1.0	0.49487780381653834
CETP	transcriptomic	gene	0.9825912286575159	0.16000000000000003	1.0	0.5747773685972548
OSBPL3	transcriptomic	gene	0.9822564445932374	0.0	1.0	0.4946769333779712
HSD17B1	transcriptomic	gene	0.9819216605289588	0.0	1.0	0.49457649815868765
B4GALT5	transcriptomic	gene	0.9815868764646802	0.0	1.0	0.49447606293940405
THEM4	transcriptomic	gene	0.9812520924004018	0.0	1.0	0.49437562772012056
