name	layer	type	assoc_score	prior_score	path_score	total_score
ALB	transcriptomic	gene	1.0	0.192	1.0	0.4344
APOA2	transcriptomic	gene	0.9996659986639946	0.04895999999999999	1.0	0.3342385998663995
APOC1	transcriptomic	gene	0.9993319973279893	0.0	1.0	0.29993319973279897
UBC	transcriptomic	gene	0.998997995991984	0.0	1.0	0.29989979959919844
ACADS	transcriptomic	gene	0.9986639946559787	0.0	1.0	0.2998663994655979
PPP2R1B	transcriptomic	gene	0.9983299933199733	0.0	1.0	0.29983299933199736
PPARGC1A	transcriptomic	gene	0.9979959919839679	0.0	1.0	0.2997995991983968
ECI1	transcriptomic	gene	0.9976619906479626	0.0	1.0	0.2997661990647963
ABCA5	transcriptomic	gene	0.9973279893119572	0.0	1.0	0.29973279893119575
HMGCR	transcriptomic	gene	0.996993987975952	0.2	1.0	0.43969939879759523
FUOM	transcriptomic	gene	0.9966599866399466	0.0	1.0	0.2996659986639947
LDLR	transcriptomic	gene	0.9963259853039412	0.2	1.0	0.43963259853039416
ABCG1	transcriptomic	gene	0.9959919839679359	0.0	1.0	0.2995991983967936
MID1IP1	transcriptomic	gene	0.9956579826319305	0.0	1.0	0.2995657982631931
UAP1	transcriptomic	gene	0.9953239812959251	0.0	1.0	0.29953239812959254
RORA	transcriptomic	gene	0.9949899799599199	0.0	1.0	0.299498997995992
PMVK	transcriptomic	gene	0.9946559786239145	0.0	1.0	0.29946559786239146
GAL3ST1	transcriptomic	gene	0.9943219772879092	0.0	1.0	0.2994321977287909
ABCA10	transcriptomic	gene	0.9939879759519038	0.0	1.0	0.2993987975951904
AMDHD2	transcriptomic	gene	0.9936539746158984	0.0	1.0	0.29936539746158985
IDI1	transcriptomic	gene	0.9933199732798931	0.0	1.0	0.2993319973279893
HMGCS2	transcriptomic	gene	0.9929859719438878	0.0	1.0	0.2992985971943888
CGA	transcriptomic	gene	0.9926519706078825	0.0	1.0	0.29926519706078825
NR1D1	transcriptomic	gene	0.9923179692718771	0.0	1.0	0.2992317969271877
MED11	transcriptomic	gene	0.9919839679358717	0.0	1.0	0.2991983967935872
PIK3C2G	transcriptomic	gene	0.9916499665998664	0.0	1.0	0.29916499665998664
PIK3R1	transcriptomic	gene	0.991315965263861	0.0	1.0	0.2991315965263861
PNPLA8	transcriptomic	gene	0.9909819639278558	0.0	1.0	0.29909819639278556
PMM1	transcriptomic	gene	0.9906479625918504	0.0	1.0	0.29906479625918503
ABCA9	transcriptomic	gene	0.990313961255845	0.0	1.0	0.2990313961255845
RENBP	transcriptomic	gene	0.9899799599198397	0.0	1.0	0.29899799599198396
ACOT2	transcriptomic	gene	0.9896459585838343	0.0	1.0	0.2989645958583834
ENPP7	transcriptomic	gene	0.9893119572478289	0.0	1.0	0.2989311957247829
PNPLA3	transcriptomic	gene	0.9889779559118237	0.0	1.0	0.2988977955911824
HSD17B14	transcriptomic	gene	0.9886439545758183	0.0	1.0	0.29886439545758187
ITPR1	transcriptomic	gene	0.988309953239813	0.0	1.0	0.29883099532398133
LPCAT4	transcriptomic	gene	0.9879759519038076	0.0	1.0	0.2987975951903808
PCYT2	transcriptomic	gene	0.9876419505678022	0.0	1.0	0.29876419505678026
CHD9	transcriptomic	gene	0.9873079492317969	0.0	1.0	0.2987307949231797
SCD	transcriptomic	gene	0.9869739478957916	0.0	1.0	0.2986973947895792
INPP5D	transcriptomic	gene	0.9866399465597863	0.0	1.0	0.29866399465597865
SLC22A5	transcriptomic	gene	0.9863059452237809	0.0	1.0	0.2986305945223781
PLA2R1	transcriptomic	gene	0.9859719438877755	0.0	1.0	0.2985971943887776
ACOT11	transcriptomic	gene	0.9856379425517702	0.0	1.0	0.29856379425517704
GPCPD1	transcriptomic	gene	0.9853039412157648	0.0	1.0	0.2985303941215765
OSBPL3	transcriptomic	gene	0.9849699398797596	0.0	1.0	0.29849699398797597
HSD17B1	transcriptomic	gene	0.9846359385437542	0.0	1.0	0.29846359385437543
B4GALT5	transcriptomic	gene	0.9843019372077488	0.0	1.0	0.2984301937207749
THEM4	transcriptomic	gene	0.9839679358717435	0.0	1.0	0.29839679358717436
ITPR2	transcriptomic	gene	0.9836339345357381	0.0	1.0	0.2983633934535738
B3GNT5	transcriptomic	gene	0.9832999331997327	0.0	1.0	0.2983299933199733
CYP8B1	transcriptomic	gene	0.9829659318637275	0.0	1.0	0.29829659318637275
ARSF	transcriptomic	gene	0.9826319305277221	0.0	1.0	0.2982631930527722
MIR33B	transcriptomic	gene	0.9822979291917168	0.0	1.0	0.2982297929191717
SBF2	transcriptomic	gene	0.9819639278557114	0.0	1.0	0.29819639278557114
ST6GALNAC3	transcriptomic	gene	0.981629926519706	0.0	1.0	0.2981629926519706
MYLIP	transcriptomic	gene	0.9812959251837008	0.0	1.0	0.2981295925183701
ITPR3	transcriptomic	gene	0.9809619238476954	0.0	1.0	0.2980961923847696
ACSL4	transcriptomic	gene	0.9806279225116901	0.0	1.0	0.29806279225116905
GDPD3	transcriptomic	gene	0.9802939211756847	0.0	1.0	0.2980293921175685
AHR	transcriptomic	gene	0.9799599198396793	0.0	1.0	0.297995991983968
PLTP	transcriptomic	gene	0.979625918503674	0.039999999999999994	1.0	0.3259625918503674
CYP2R1	transcriptomic	gene	0.9792919171676686	0.0	1.0	0.2979291917167669
GPX4	transcriptomic	gene	0.9789579158316634	0.0	1.0	0.29789579158316637
HSD3B1	transcriptomic	gene	0.978623914495658	0.0	1.0	0.29786239144956583
ESYT3	transcriptomic	gene	0.9782899131596526	0.0	1.0	0.2978289913159653
ACSS3	transcriptomic	gene	0.9779559118236473	0.0	1.0	0.29779559118236476
PPARA	transcriptomic	gene	0.9776219104876419	0.0	1.0	0.2977621910487642
CYP4A11	transcriptomic	gene	0.9772879091516367	0.0	1.0	0.2977287909151637
MTMR7	transcriptomic	gene	0.9769539078156313	0.0	1.0	0.29769539078156315
NCEH1	transcriptomic	gene	0.9766199064796259	0.0	1.0	0.2976619906479626
ETNPPL	transcriptomic	gene	0.9762859051436206	0.0	1.0	0.2976285905143621
