name	layer	type	assoc_score	prior_score	path_score	total_score
ALB	transcriptomic	gene	1.0	0.741668320809112	1.0	0.8708341604045561
APOA2	transcriptomic	gene	0.9996631862579993	0.14389669778611572	1.0	0.5718220437398076
APOC1	transcriptomic	gene	0.9993263725159987	0.05929137426025968	1.0	0.5293930768236293
UBC	transcriptomic	gene	0.998989558773998	0.004292851554495939	1.0	0.5017675103174972
ACADS	transcriptomic	gene	0.997979117547996	0.0016904312164563134	1.0	0.5000873846887266
PPP2R1B	transcriptomic	gene	0.9986527450319973	0.0008654177233392455	1.0	0.4999274882486686
PPARGC1A	transcriptomic	gene	0.9983159312899966	0.00016291883543019444	1.0	0.49944993365146384
ECI1	transcriptomic	gene	0.9969686763219939	0.0009750880250760498	1.0	0.4993507976332858
ABCA5	transcriptomic	gene	0.9976423038059953	0.000146452328888763	1.0	0.49918909009169266
HMGCR	transcriptomic	gene	0.9973054900639946	0.0003221338032189742	1.0	0.49915062567560753
FUOM	transcriptomic	gene	0.9959582350959919	0.001114869681117864	1.0	0.49904177300155594
LDLR	transcriptomic	gene	0.9966318625799933	0.0002978468085089816	1.0	0.49888587187175204
ABCG1	transcriptomic	gene	0.9962950488379926	2.5618358006507175e-05	1.0	0.49862345249325046
MID1IP1	transcriptomic	gene	0.9956214213539912	0.0002778988761524859	1.0	0.49849698244582297
UAP1	transcriptomic	gene	0.9949477938699899	0.0005688071935347678	1.0	0.49838982629801365
RORA	transcriptomic	gene	0.9952846076119906	0.00012170417583503132	1.0	0.49829257994241394
PMVK	transcriptomic	gene	0.9942741663859885	0.0006479229130306311	1.0	0.498176773851261
GAL3ST1	transcriptomic	gene	0.9946109801279892	1.6541344143442147e-05	1.0	0.4979873882200677
ABCA10	transcriptomic	gene	0.9939373526439879	2.353366662445642e-05	1.0	0.49773827407480775
AMDHD2	transcriptomic	gene	0.9936005389019872	9.776383038641189e-05	1.0	0.49764908400343844
IDI1	transcriptomic	gene	0.9925900976759852	0.0007420946543346774	1.0	0.4975923339556618
HMGCS2	transcriptomic	gene	0.9791175479959582	0.010752449088952048	1.0	0.49754530504296035
CGA	transcriptomic	gene	0.9932637251599865	5.5258852262925596e-06	1.0	0.49747665987760814
NR1D1	transcriptomic	gene	0.9929269114179858	0.00024578186757956064	1.0	0.4974704827155345
MED11	transcriptomic	gene	0.9922532839339845	0.00020041701279521212	1.0	0.4971951899816418
PIK3C2G	transcriptomic	gene	0.9919164701919838	5.8849421153801075e-05	1.0	0.4969981010325708
PIK3R1	transcriptomic	gene	0.9912428427079825	0.0004060062813324247	1.0	0.4969190691561597
PNPLA8	transcriptomic	gene	0.9915796564499831	0.00014042473378596965	1.0	0.4969125835356367
PMM1	transcriptomic	gene	0.9905692152239811	0.0004607772121672948	1.0	0.49669384431507657
ABCA9	transcriptomic	gene	0.9909060289659818	8.253645219141362e-05	1.0	0.4966310290883389
RENBP	transcriptomic	gene	0.9902324014819804	2.8794915829338197e-05	1.0	0.49635154801365733
ACOT2	transcriptomic	gene	0.9895587739979791	0.0004676160460882465	1.0	0.49631834827228627
ENPP7	transcriptomic	gene	0.9898955877399798	5.202752781760254e-05	1.0	0.49623685916640126
PNPLA3	transcriptomic	gene	0.9892219602559784	0.00020787367989139472	1.0	0.4960621719359376
HSD17B14	transcriptomic	gene	0.9885483327719771	0.00037237605330451743	1.0	0.4958918128161437
ITPR1	transcriptomic	gene	0.9888851465139777	1.7848956953579088e-05	1.0	0.4958408544212185
LPCAT4	transcriptomic	gene	0.9882115190299764	2.1046467484433307e-05	1.0	0.4955898428699834
PCYT2	transcriptomic	gene	0.9868642640619737	0.0008184980535435322	1.0	0.49548334805001193
CHD9	transcriptomic	gene	0.9878747052879757	4.012710375894259e-05	1.0	0.4954730780348704
SCD	transcriptomic	gene	0.984506567867969	0.0024286679028963643	1.0	0.49540429690193655
INPP5D	transcriptomic	gene	0.987537891545975	3.631102355190895e-05	1.0	0.49534486484151663
SLC22A5	transcriptomic	gene	0.9872010778039744	7.5182399022254e-05	1.0	0.49523799537600155
PLA2R1	transcriptomic	gene	0.986527450319973	5.79108388166676e-06	1.0	0.49495068941193077
ACOT11	transcriptomic	gene	0.9861906365779723	2.78241423278804e-06	1.0	0.4948228799238561
GPCPD1	transcriptomic	gene	0.9858538228359717	6.851982737915881e-05	1.0	0.49472944347717906
OSBPL3	transcriptomic	gene	0.985517009093971	7.24728594460393e-06	1.0	0.49457250205321146
HSD17B1	transcriptomic	gene	0.9851801953519703	9.180500283714934e-06	1.0	0.4944471635071308
B4GALT5	transcriptomic	gene	0.9848433816099696	0.000156903803052557	1.0	0.49439472000526496
THEM4	transcriptomic	gene	0.9841697541259683	8.174254412718128e-05	1.0	0.4941045290693017
ITPR2	transcriptomic	gene	0.9838329403839676	0.0001575153560337054	1.0	0.49401611032200476
B3GNT5	transcriptomic	gene	0.983496126641967	8.531760896308844e-06	1.0	0.4938153133711858
CYP8B1	transcriptomic	gene	0.9801279892219602	0.0024698844226647134	1.0	0.4937829381695674
ARSF	transcriptomic	gene	0.9831593128999663	9.593353391110138e-06	1.0	0.493689539014183
MIR33B	transcriptomic	gene	0.9828224991579656	0.0	1.0	0.4935584371842371
SBF2	transcriptomic	gene	0.9824856854159649	4.721129611460386e-05	1.0	0.49345573767904416
ST6GALNAC3	transcriptomic	gene	0.9821488716739643	6.8136587505611925e-06	1.0	0.4933092337071119
MYLIP	transcriptomic	gene	0.9818120579319636	3.2635440862398896e-05	1.0	0.4931958394449175
ITPR3	transcriptomic	gene	0.9814752441899629	1.8581900186844215e-05	1.0	0.4930625075213295
ACSL4	transcriptomic	gene	0.9811384304479622	5.13361744515334e-05	1.0	0.49295257950521165
GDPD3	transcriptomic	gene	0.9808016167059616	2.2494551042257395e-05	1.0	0.4928118535402568
AHR	transcriptomic	gene	0.9804648029639609	0.00018063349307472512	1.0	0.4927646178580227
PLTP	transcriptomic	gene	0.9797911754799595	0.00012563134595065142	1.0	0.49248450647796016
CYP2R1	transcriptomic	gene	0.9794543617379589	3.0404765161559464e-05	1.0	0.4923105880343154
GPX4	transcriptomic	gene	0.9754125968339509	0.0029443376583355154	1.0	0.4922518926418994
HSD3B1	transcriptomic	gene	0.9787807342539576	3.438788378556386e-06	1.0	0.49204449473942347
ESYT3	transcriptomic	gene	0.9784439205119568	4.542369677205917e-07	1.0	0.4919166973104677
ACSS3	transcriptomic	gene	0.9781071067699563	0.00014709063692805005	1.0	0.49186371035719767
PPARA	transcriptomic	gene	0.9777702930279555	0.0002219410073392967	1.0	0.49177483038915304
CYP4A11	transcriptomic	gene	0.9727180868979455	0.003552079351486964	1.0	0.49154532226247305
MTMR7	transcriptomic	gene	0.9774334792859549	7.667632382297404e-06	1.0	0.4915413885484242
NCEH1	transcriptomic	gene	0.9770966655439542	1.7128091743820514e-05	1.0	0.49141981362485476
ETNPPL	transcriptomic	gene	0.9760862243179522	0.0006385117500502932	1.0	0.4913515899942572
NUDT19	transcriptomic	gene	0.9767598518019536	5.1265626373432876e-05	1.0	0.49131057723891935
ACADL	transcriptomic	gene	0.9764230380599529	0.0001902727914760854	1.0	0.49125377566822037
ETNK2	transcriptomic	gene	0.9750757830919502	0.0009221985541285437	1.0	0.4911145179365456
MED16	transcriptomic	gene	0.9757494105759515	0.00020715418111178998	1.0	0.49100960605653776
PIP5K1B	transcriptomic	gene	0.9747389693499495	1.5366667056793156e-06	1.0	0.49052788183958396
PLEKHA6	transcriptomic	gene	0.9744021556079488	0.00018626039340313913	1.0	0.4904939385496825
HSD17B3	transcriptomic	gene	0.9740653418659482	8.126396903081997e-05	1.0	0.49031513518424596
ORMDL1	transcriptomic	gene	0.9737285281239475	0.0002709813263554357	1.0	0.490283688709658
CYP4F3	transcriptomic	gene	0.9717076456719435	0.001592421836233248	1.0	0.49018657804509547
LIPG	transcriptomic	gene	0.9733917143819468	0.000175527159257415	1.0	0.49010965647285876
CARM1	transcriptomic	gene	0.9730549006399462	0.00012925741357959348	1.0	0.4899602164467697
ARL4C	transcriptomic	gene	0.9723812731559448	5.456041327068986e-05	1.0	0.4896702576401146
ALG12	transcriptomic	gene	0.9720444594139441	7.768550777788091e-05	1.0	0.489555515034118
CYP27B1	transcriptomic	gene	0.9713708319299428	6.226979613920189e-06	1.0	0.4892671754635355
MED29	transcriptomic	gene	0.9710340181879421	0.00017639689942069523	1.0	0.48922595527018864
AGPAT1	transcriptomic	gene	0.9706972044459414	0.0003113713659207287	1.0	0.48916713735018846
ME1	transcriptomic	gene	0.9703603907039408	5.941020256816676e-05	1.0	0.48891485161526194
