gene_id	gene_symbol	tissue	score	source
ENSG00000223972.5	DDX11L1	Liver	0.0	GTEx
ENSG00000227232.5	WASH7P	Liver	3.0038281582305398e-05	GTEx
ENSG00000278267.1	MIR6859-1	Liver	0.0	GTEx
ENSG00000243485.5	MIR1302-2HG	Liver	0.0	GTEx
ENSG00000237613.2	FAM138A	Liver	0.0	GTEx
ENSG00000268020.3	OR4G4P	Liver	5.660569970225435e-07	GTEx
ENSG00000240361.1	OR4G11P	Liver	7.376435559336453e-07	GTEx
ENSG00000186092.4	OR4F5	Liver	1.0300297745640152e-06	GTEx
ENSG00000238009.6	RP11-34P13.7	Liver	2.86856656741812e-07	GTEx
ENSG00000233750.3	CICP27	Liver	3.883453849425776e-07	GTEx
ENSG00000268903.1	RP11-34P13.15	Liver	5.3943002977456404e-05	GTEx
ENSG00000269981.1	RP11-34P13.16	Liver	7.83326244151425e-05	GTEx
ENSG00000239906.1	RP11-34P13.14	Liver	0.0	GTEx
ENSG00000241860.6	RP11-34P13.13	Liver	7.54487452148022e-07	GTEx
ENSG00000222623.1	RNU6-1100P	Liver	0.0	GTEx
ENSG00000241599.1	RP11-34P13.9	Liver	0.0	GTEx
ENSG00000279928.2	ABC7-43046700E7.1	Liver	7.582305401956615e-07	GTEx
ENSG00000279457.4	RP11-34P13.18	Liver	5.3364525733730326e-05	GTEx
ENSG00000273874.1	MIR6859-2	Liver	0.0	GTEx
ENSG00000228463.9	AP006222.2	Liver	3.329646958740961e-06	GTEx
ENSG00000236679.2	RPL23AP24	Liver	0.0	GTEx
ENSG00000236743.1	RP5-857K21.15	Liver	0.0	GTEx
ENSG00000236601.2	RP4-669L17.2	Liver	0.0	GTEx
ENSG00000237094.11	RP4-669L17.10	Liver	1.3377286261165462e-06	GTEx
ENSG00000269732.1	WBP1LP7	Liver	1.3267545725223308e-06	GTEx
ENSG00000278566.1	OR4F29	Liver	6.770735857082093e-07	GTEx
ENSG00000233653.3	CICP7	Liver	0.0	GTEx
ENSG00000250575.1	RP4-669L17.8	Liver	0.0	GTEx
ENSG00000278757.1	U6	Liver	0.0	GTEx
ENSG00000230021.8	RP5-857K21.4	Liver	5.759251382390472e-07	GTEx
ENSG00000235146.2	RP5-857K21.2	Liver	0.0	GTEx
ENSG00000225972.1	MTND1P23	Liver	0.00016187154402381963	GTEx
ENSG00000225630.1	MTND2P28	Liver	0.01284389621437686	GTEx
ENSG00000237973.1	MTCO1P12	Liver	0.0013905572096980007	GTEx
ENSG00000229344.1	MTCO2P12	Liver	0.0003129732028923862	GTEx
ENSG00000240409.1	MTATP8P1	Liver	0.0003203743088047639	GTEx
ENSG00000248527.1	MTATP6P1	Liver	0.09256486601446193	GTEx
ENSG00000198744.5	MTCO3P12	Liver	0.00036469587409612936	GTEx
ENSG00000268663.1	WBP1LP6	Liver	9.68098681412165e-07	GTEx
ENSG00000273547.1	OR4F16	Liver	5.63249680986814e-07	GTEx
ENSG00000283574.1	RP11-206L10.17	Liver	0.0	GTEx
ENSG00000229376.3	CICP3	Liver	2.5844321565291368e-06	GTEx
ENSG00000228327.3	RP11-206L10.2	Liver	1.8962143768609104e-05	GTEx
ENSG00000223181.1	RNU6-1199P	Liver	0.0	GTEx
ENSG00000229905.1	RP11-206L10.4	Liver	9.088898341131432e-07	GTEx
ENSG00000237491.8	RP11-206L10.9	Liver	6.623564440663547e-06	GTEx
ENSG00000230092.7	RP11-206L10.8	Liver	7.103360272224585e-06	GTEx
ENSG00000177757.2	FAM87B	Liver	2.351339855380689e-06	GTEx
ENSG00000228794.8	LINC01128	Liver	5.984687367077839e-05	GTEx
ENSG00000225880.5	LINC00115	Liver	4.850701829008932e-05	GTEx
ENSG00000230368.2	FAM41C	Liver	8.126754572522332e-07	GTEx
ENSG00000234711.1	TUBB8P11	Liver	1.1308379413015737e-06	GTEx
ENSG00000283040.1	FAM166AP3	Liver	6.477243726074012e-07	GTEx
ENSG00000272438.1	RP11-54O7.16	Liver	2.6737558485750744e-06	GTEx
ENSG00000230699.2	RP11-54O7.1	Liver	2.3734581029349216e-06	GTEx
ENSG00000241180.1	RP11-54O7.2	Liver	0.0	GTEx
ENSG00000223764.2	RP11-54O7.3	Liver	2.615057422373458e-05	GTEx
ENSG00000187634.11	SAMD11	Liver	2.7766907698851556e-05	GTEx
ENSG00000188976.10	NOC2L	Liver	0.00046039982985963425	GTEx
ENSG00000187961.13	KLHL17	Liver	9.668226286686516e-05	GTEx
ENSG00000187583.10	PLEKHN1	Liver	7.239472564866014e-06	GTEx
ENSG00000187642.9	PERM1	Liver	4.41344108889834e-06	GTEx
ENSG00000272512.1	RP11-54O7.17	Liver	1.2225435984687367e-05	GTEx
ENSG00000188290.10	HES4	Liver	5.4666099532114e-05	GTEx
