gene_symbol	tissue	score	source
TSPAN6	liver	0.0003306594106105254	HPA
TNMD	liver	0.0	HPA
DPM1	liver	0.0002927865265758397	HPA
SCYL3	liver	5.3410477484813216e-05	HPA
C1orf112	liver	1.2138744882912094e-05	HPA
FGR	liver	5.146827830354728e-05	HPA
CFH	liver	0.007988750782342107	HPA
FUCA2	liver	0.00024665929602077374	HPA
GCLC	liver	0.0007166714978871301	HPA
NFYA	liver	6.166482400519344e-05	HPA
STPG1	liver	7.76879672506374e-06	HPA
NIPAL3	liver	1.650869304076045e-05	HPA
LAS1L	liver	9.27400109054484e-05	HPA
ENPP4	liver	3.835843383000222e-05	HPA
SEMA3F	liver	2.2820840379874737e-05	HPA
CFTR	liver	7.76879672506374e-06	HPA
ANKIB1	liver	4.952607912228134e-05	HPA
CYP51A1	liver	0.0009516775988203082	HPA
KRIT1	liver	3.9329533420635186e-05	HPA
RAD52	liver	3.0589637104938475e-05	HPA
BAD	liver	0.00045544570800686176	HPA
LAP3	liver	0.0008963249221542291	HPA
CD99	liver	0.0010784060953979103	HPA
HS3ST1	liver	1.942199181265935e-06	HPA
AOC1	liver	2.719078853772309e-05	HPA
WNT16	liver	9.710995906329675e-07	HPA
HECW1	liver	4.855497953164838e-07	HPA
MAD1L1	liver	3.0104087309621994e-05	HPA
LASP1	liver	0.0003617345975107804	HPA
SNX11	liver	6.846252113962421e-05	HPA
TMEM176A	liver	0.00550419247970766	HPA
M6PR	liver	0.0003714455934171101	HPA
KLHL13	liver	2.184974078924177e-05	HPA
CYP26B1	liver	4.369948157848354e-06	HPA
ICA1	liver	4.17572823972176e-05	HPA
DBNDD1	liver	3.0589637104938475e-05	HPA
ALS2	liver	6.846252113962421e-05	HPA
CASP10	liver	2.9132987718989025e-05	HPA
CFLAR	liver	0.0002782200327163452	HPA
TFPI	liver	0.0012813659098402006	HPA
NDUFAF7	liver	5.001162891759783e-05	HPA
RBM5	liver	0.0002753067339444463	HPA
MTMR7	liver	6.312147339114289e-06	HPA
SLC7A2	liver	0.0008327178989677697	HPA
ARF5	liver	0.000658405522449152	HPA
SARM1	liver	1.650869304076045e-05	HPA
POLDIP2	liver	0.0008919549739963807	HPA
PLXND1	liver	8.594231377101763e-05	HPA
AK2	liver	0.00076085652926093	HPA
CD38	liver	1.553759345012748e-05	HPA
FKBP4	liver	0.0002719078853772309	HPA
KDM1A	liver	0.00010536430558367698	HPA
RBM6	liver	0.00036998894403116067	HPA
CAMKK1	liver	4.855497953164838e-06	HPA
RECQL	liver	7.380356888810553e-05	HPA
VPS50	liver	2.9132987718989025e-05	HPA
HSPB6	liver	0.0002005320654657078	HPA
ARHGAP33	liver	1.408094406417803e-05	HPA
NDUFAB1	liver	0.0007846484692314378	HPA
PDK4	liver	0.0010531575060414534	HPA
SLC22A16	liver	4.855497953164838e-07	HPA
ZMYND10	liver	4.369948157848354e-06	HPA
ABCB5	liver	0.0	HPA
ARX	liver	0.0	HPA
SLC25A13	liver	0.0007064749521854839	HPA
ST7	liver	0.0001942199181265935	HPA
CDC27	liver	0.00010584985537899346	HPA
SLC4A1	liver	5.3410477484813216e-06	HPA
CALCR	liver	0.0	HPA
HCCS	liver	0.00010779205456025939	HPA
DVL2	liver	5.001162891759783e-05	HPA
PRSS22	liver	2.427748976582419e-06	HPA
UPF1	liver	8.205791540848575e-05	HPA
SKAP2	liver	5.583822646139563e-05	HPA
SLC25A5	liver	0.0015814356833457877	HPA
MCUB	liver	1.019654570164616e-05	HPA
HOXA11	liver	0.0	HPA
POLR2J	liver	0.00045350350882559587	HPA
DHX33	liver	3.690178444405276e-05	HPA
MEOX1	liver	4.855497953164838e-07	HPA
THSD7A	liver	2.9132987718989027e-06	HPA
LIG3	liver	2.961853751430551e-05	HPA
RPAP3	liver	7.283246929747257e-05	HPA
ACSM3	liver	0.0008375733969209345	HPA
REXO5	liver	8.254346520380225e-06	HPA
CIAPIN1	liver	0.0001291562455541847	HPA
SPPL2B	liver	0.00015634703409190778	HPA
ATOSB	liver	5.3410477484813216e-05	HPA
COPZ2	liver	0.00015731813368254075	HPA
PRKAR2B	liver	9.22544611101319e-06	HPA
MSL3	liver	6.554922236772531e-05	HPA
CREBBP	liver	6.749142154899125e-05	HPA
TSPOAP1	liver	7.865906684127037e-05	HPA
MPO	liver	8.254346520380225e-06	HPA
PON1	liver	0.0025068935932190057	HPA
GCFC2	liver	0.0001349828430979825	HPA
WDR54	liver	9.22544611101319e-06	HPA
CROT	liver	0.00016508693040760447	HPA
ABCB4	liver	0.0005797464556078816	HPA
KMT2E	liver	2.816188812835606e-05	HPA
RHBDD2	liver	0.0004724399508429387	HPA
SOX8	liver	9.710995906329675e-07	HPA
IBTK	liver	0.0001048787557883605	HPA
ZNF195	liver	6.215037380050992e-05	HPA
MYCBP2	liver	5.583822646139563e-05	HPA
FBXL3	liver	0.00014809268757152755	HPA
ITGAL	liver	5.001162891759783e-05	HPA
PDK2	liver	0.00023937604909102648	HPA
ITGA3	liver	1.019654570164616e-05	HPA
ZFX	liver	4.758387994101541e-05	HPA
LAMP2	liver	0.000643353478794341	HPA
ITGA2B	liver	2.427748976582419e-06	HPA
ASB4	liver	6.797697134430772e-06	HPA
GDE1	liver	0.00011944524964785502	HPA
REX1BD	liver	0.0003010408730962199	HPA
CRLF1	liver	7.283246929747256e-06	HPA
OSBPL7	liver	1.019654570164616e-05	HPA
TMEM98	liver	0.00012964179534950116	HPA
YBX2	liver	9.22544611101319e-06	HPA
KRT33A	liver	0.0	HPA
MAP3K14	liver	3.4474035467470346e-05	HPA
ABCC8	liver	0.0	HPA
CACNG3	liver	0.0	HPA
TMEM132A	liver	1.019654570164616e-05	HPA
AP2B1	liver	0.00016508693040760447	HPA
TAC1	liver	1.4566493859494514e-06	HPA
ZNF263	liver	6.991917052557366e-05	HPA
CX3CL1	liver	6.991917052557366e-05	HPA
SPATA20	liver	8.35145647944352e-05	HPA
CACNA1G	liver	0.0	HPA
TNFRSF12A	liver	0.00028841657841799134	HPA
DLX6	liver	0.0	HPA
MAP3K9	liver	3.398848567215386e-06	HPA
RALA	liver	0.00010099435742582863	HPA
BAIAP2L1	liver	0.00015828923327317372	HPA
KDM7A	liver	3.1560736695571445e-05	HPA
ETV1	liver	1.845089222202638e-05	HPA
AGK	liver	6.700587175367477e-05	HPA
ALDH3B1	liver	1.8936442017342866e-05	HPA
TTC22	liver	2.9132987718989025e-05	HPA
PHTF2	liver	2.961853751430551e-05	HPA
CCL26	liver	1.4566493859494514e-06	HPA
FARP2	liver	8.108681581785278e-05	HPA
USH1C	liver	2.9132987718989027e-06	HPA
GGCT	liver	0.0001675146793841869	HPA
DBF4	liver	4.855497953164838e-07	HPA
TBXA2R	liver	2.9132987718989025e-05	HPA
IFRD1	liver	0.0001291562455541847	HPA
LGALS14	liver	0.0	HPA
COX10	liver	5.001162891759783e-05	HPA
GTF2IRD1	liver	2.184974078924177e-05	HPA
PAF1	liver	0.00023452055113786164	HPA
VPS41	liver	0.00012430074760101984	HPA
ARHGAP44	liver	2.427748976582419e-06	HPA
ELAC2	liver	0.0001529481855246924	HPA
