gene_id	gene_symbol	context	source	context_type	score
UNIPROT:O75976	CPD	liver	PRIDE	tissue	0.6265822784810127
UNIPROT:P00450	CP	liver	PRIDE	tissue	0.5696202531645569
UNIPROT:P00738	HP	liver	PRIDE	tissue	0.49873417721518987
UNIPROT:P00747	PLG	liver	PRIDE	tissue	0.43670886075949367
UNIPROT:P01009	A1AT	liver	PRIDE	tissue	0.740506329113924
UNIPROT:P01024	C3	liver	PRIDE	tissue	0.8544303797468354
UNIPROT:P02452	COL1A1	liver	PRIDE	tissue	1.0
UNIPROT:P02458	COL2A1	liver	PRIDE	tissue	0.3924050632911392
UNIPROT:P02461	COL3A1	liver	PRIDE	tissue	0.8354430379746834
UNIPROT:P02647	APOA1	liver	PRIDE	tissue	0.5949367088607594
UNIPROT:P02652	APOA2	liver	PRIDE	tissue	0.40253164556962023
UNIPROT:P02655	APOC2	liver	PRIDE	tissue	0.27848101265822783
UNIPROT:P02656	APOC3	liver	PRIDE	tissue	0.24683544303797467
UNIPROT:P02675	FGB	liver	PRIDE	tissue	0.6455696202531644
UNIPROT:P02679	FGG	liver	PRIDE	tissue	0.620253164556962
UNIPROT:P02749	APOH	liver	PRIDE	tissue	0.36582278481012653
UNIPROT:P02768	ALB	liver	PRIDE	tissue	0.9683544303797469
UNIPROT:P02787	TF	liver	PRIDE	tissue	0.6835443037974683
UNIPROT:P02790	HPX	liver	PRIDE	tissue	0.3291139240506329
UNIPROT:P03956	MMP1	liver	PRIDE	tissue	0.4873417721518987
UNIPROT:P04003	C4BPA	liver	PRIDE	tissue	0.2974683544303797
UNIPROT:P04114	APOB	liver	PRIDE	tissue	0.7215189873417721
UNIPROT:P04406	GAPDH	liver	PRIDE	tissue	0.7784810126582279
UNIPROT:P05121	PAI1	liver	PRIDE	tissue	0.49367088607594933
UNIPROT:P05997	COL5A2	liver	PRIDE	tissue	0.3164556962025316
UNIPROT:P06727	APOA4	liver	PRIDE	tissue	0.45569620253164556
UNIPROT:P07585	DCN	liver	PRIDE	tissue	0.5253164556962026
UNIPROT:P07996	THBS1	liver	PRIDE	tissue	0.4177215189873417
UNIPROT:P08123	COL1A2	liver	PRIDE	tissue	0.9050632911392406
UNIPROT:P08253	MMP2	liver	PRIDE	tissue	0.689873417721519
UNIPROT:P08254	MMP3	liver	PRIDE	tissue	0.4113924050632911
UNIPROT:P08572	COL4A2	liver	PRIDE	tissue	0.47468354430379744
UNIPROT:P09237	MMP7	liver	PRIDE	tissue	0.26582278481012656
UNIPROT:P12109	COL6A1	liver	PRIDE	tissue	0.550632911392405
UNIPROT:P12110	COL6A2	liver	PRIDE	tissue	0.5063291139240506
UNIPROT:P12111	COL6A3	liver	PRIDE	tissue	0.5886075949367089
UNIPROT:P13611	VCAN	liver	PRIDE	tissue	0.7974683544303797
UNIPROT:P14780	MMP9	liver	PRIDE	tissue	0.5632911392405063
UNIPROT:P20908	COL5A1	liver	PRIDE	tissue	0.3481012658227848
UNIPROT:P21333	FLNA	liver	PRIDE	tissue	0.6139240506329113
UNIPROT:P21810	BGN	liver	PRIDE	tissue	0.430379746835443
UNIPROT:P23142	FBLN1	liver	PRIDE	tissue	0.46835443037974683
UNIPROT:P25940	COL5A3	liver	PRIDE	tissue	0.20886075949367086
UNIPROT:P35052	GPC1	liver	PRIDE	tissue	0.34177215189873417
UNIPROT:P35237	SPP1	liver	PRIDE	tissue	0.7025316455696202
UNIPROT:P35579	MYH9	liver	PRIDE	tissue	0.810126582278481
UNIPROT:P36222	CHI3L1	liver	PRIDE	tissue	0.6835443037974683
UNIPROT:P51884	LUM	liver	PRIDE	tissue	0.6012658227848101
UNIPROT:P61626	LYZ	liver	PRIDE	tissue	0.5481012658227848
UNIPROT:P98160	HSPG2	liver	PRIDE	tissue	0.9240506329113923
UNIPROT:Q03591	FHL1	liver	PRIDE	tissue	0.5189873417721518
UNIPROT:Q92945	KHSRP	liver	PRIDE	tissue	0.37341772151898733
